time,F1_ORIGINAL
7322.52,0
7322.62,0
7322.72,0
7322.82,0
7322.92,0
7323.02,0
7323.12,0
7323.22,0
7323.32,0
7323.42,0
7323.52,0
7323.62,0
7323.72,0
7323.82,0
7323.92,0
7324.02,0
7324.12,0
7324.22,0
7324.32,0
7324.42,0
7324.52,0
7324.62,0
7324.72,0
7324.82,0
7324.92,0
7325.02,0
7325.12,0
7325.22,0
7325.32,0
7325.42,0
7325.52,0
7325.62,0
7325.72,0
7325.82,0
7325.92,0
7326.02,0
7326.12,0
7326.22,0
7326.32,0
7326.42,0
7326.52,0
7326.62,1.61945
7326.72,22.3215
7326.82,42.9229
7326.92,63.4096
7327.02,74.9294
7327.12,93.0116
7327.22,110.954
7327.32,128.743
7327.42,146.368
7327.52,163.817
7327.62,181.076
7327.72,198.135
7327.82,214.982
7327.92,231.606
7328.02,267.758
7328.12,285.186
7328.22,302.336
7328.32,319.196
7328.42,335.755
7328.52,352.001
7328.62,367.924
7328.72,383.512
7328.82,398.754
7328.92,413.641
7329.02,402.473
7329.12,415.769
7329.22,428.702
7329.32,441.264
7329.42,453.446
7329.52,465.239
7329.62,476.636
7329.72,487.629
7329.82,498.21
7329.92,508.372
7330.02,586.138
7330.12,596.662
7330.22,606.69
7330.32,616.214
7330.42,625.228
7330.52,633.726
7330.62,641.701
7330.72,649.149
7330.82,656.065
7330.92,662.442
7331.02,701.861
7331.12,707.417
7331.22,712.396
7331.32,716.794
7331.42,720.609
7331.52,723.837
7331.62,726.478
7331.72,728.528
7331.82,729.986
7331.92,730.852
7332.02,663.144
7332.12,662.853
7332.22,662.025
7332.32,660.659
7332.42,658.756
7332.52,656.318
7332.62,653.347
7332.72,649.844
7332.82,645.813
7332.92,641.255
7333.02,650.863
7333.12,645.133
7333.22,638.875
7333.32,632.094
7333.42,624.793
7333.52,616.979
7333.62,608.657
7333.72,599.831
7333.82,590.509
7333.92,580.697
7334.02,601.987
7334.12,590.618
7334.22,578.754
7334.32,566.402
7334.42,553.572
7334.52,540.273
7334.62,526.512
7334.72,512.301
7334.82,497.648
7334.92,482.563
7335.02,421.262
7335.12,406.906
7335.22,392.19
7335.32,377.124
7335.42,361.718
7335.52,345.982
7335.62,329.927
7335.72,313.565
7335.82,296.907
7335.92,279.963
7336.02,280.278
7336.12,261.633
7336.22,242.722
7336.32,223.557
7336.42,204.152
7336.52,184.52
7336.62,164.674
7336.72,144.629
7336.82,124.397
7336.92,103.993
7337.02,79.8751
7337.12,60.0509
7337.22,40.1022
7337.32,20.0426
7337.42,0
7337.52,0
7337.62,0
7337.72,0
7337.82,0
7337.92,0
7338.02,0
7338.12,0
7338.22,0
7338.32,0
7338.42,0
7338.52,0
7338.62,0
7338.72,0
7338.82,0
7338.92,0
7339.02,0
7339.12,0
7339.22,0
7339.32,0
7339.42,0
7339.52,0
7339.62,0
7339.72,0
7339.82,0
7339.92,0
7340.02,0
7340.12,0
7340.22,0
7340.32,0
7340.42,0
7340.52,0
7340.62,0
7340.72,0
7340.82,0
7340.92,0
7341.02,0
7341.12,0
7341.22,0
7341.32,0
7341.42,0
7341.52,0
7341.62,0
7341.72,0
7341.82,0
7341.92,0
7342.02,0
7342.12,0
7342.22,0
7342.32,0
7342.42,0
7342.52,0
7342.62,0
7342.72,0
7342.82,0
7342.92,0
7343.02,0
7343.12,0
7343.22,0
7343.32,0
7343.42,0
7343.52,0
